Departamento,Año,Mes,Dia,Sexo,Edad,Calidad de la Victima
ANTIOQUIA,2012,3,24,Mujer,22.0,Civil
VICHADA,2014,10,20,Mujer,37.0,Civil
MAGDALENA,2006,12,8,Mujer,14.0,Civil
BOLIVAR,2001,12,8,Mujer,6.0,Civil
ANTIOQUIA,2014,5,15,Mujer,15.0,Civil
NORTE DE SANTANDER,2006,1,15,Mujer,20.0,Civil
PUTUMAYO,2003,5,24,Mujer,14.0,Civil
ANTIOQUIA,2001,12,4,Mujer,15.0,Civil
ANTIOQUIA,1997,11,14,Mujer,12.0,Civil
CAUCA,2008,4,13,Mujer,21.0,Civil
ANTIOQUIA,1989,8,18,Mujer,13.0,Civil
GUAVIARE,2005,3,11,Mujer,20.0,Civil
MAGDALENA,2004,5,5,Mujer,46.0,Civil
ANTIOQUIA,2001,12,16,Mujer,19.0,Civil
MAGDALENA,2006,1,1,Mujer,47.0,Civil
ANTIOQUIA,2013,11,15,Hombre,22.0,Civil
ARAUCA,1998,3,1,Mujer,6.0,Civil
CAQUETA,1997,3,15,Mujer,14.0,Civil
MAGDALENA,2004,1,13,Mujer,30.0,Civil
CAQUETA,2004,10,17,Mujer,27.0,Civil
ANTIOQUIA,2001,6,8,Mujer,20.0,Civil
NARINO,2012,12,25,Mujer,29.0,Civil
MAGDALENA,0,0,0,Mujer,11.0,Civil
BOLIVAR,2004,6,1,Mujer,19.0,Civil
NORTE DE SANTANDER,2002,4,10,Mujer,25.0,Civil
LA GUAJIRA,2000,3,10,Mujer,21.0,Civil
PUTUMAYO,2000,11,26,Mujer,13.0,Civil
MAGDALENA,2006,9,4,Mujer,27.0,Civil
MAGDALENA,2003,8,10,Mujer,24.0,Civil
MAGDALENA,2008,8,1,Mujer,31.0,Civil
VALLE DEL CAUCA,2013,9,27,Mujer,15.0,Civil
MAGDALENA,2002,5,14,Mujer,36.0,Civil
BOLIVAR,2002,1,1,Mujer,9.0,Civil
ANTIOQUIA,2005,7,29,Hombre,23.0,Civil
META,2004,7,24,Hombre,21.0,Civil
CHOCO,2009,7,23,Mujer,18.0,Civil
CASANARE,2001,11,1,Mujer,26.0,Civil
MAGDALENA,2004,9,22,Mujer,17.0,Civil
PUTUMAYO,2001,12,1,Mujer,45.0,Civil
CORDOBA,1996,2,13,Hombre,27.0,Civil
META,2000,12,10,Mujer,27.0,Civil
MAGDALENA,2003,3,18,Mujer,24.0,Civil
ANTIOQUIA,1996,11,17,Mujer,15.0,Civil
VALLE DEL CAUCA,2014,2,4,Mujer,17.0,Civil
BOLIVAR,2000,3,10,Mujer,29.0,Civil
CUNDINAMARCA,1987,3,1,Mujer,18.0,Civil
ANTIOQUIA,2000,8,13,Mujer,21.0,Civil
SANTANDER,1987,9,2,Mujer,28.0,Civil
PUTUMAYO,2001,5,18,Mujer,40.0,Civil
ANTIOQUIA,2003,5,14,Mujer,18.0,Civil
