Departamento,Año,Mes,Dia,Sexo,Edad,Calidad de la Victima
MAGDALENA,2003,10,8,Mujer,15.0,Civil
ANTIOQUIA,2014,11,13,Mujer,56.0,Civil
ANTIOQUIA,2007,12,31,Mujer,12.0,Civil
ANTIOQUIA,2005,6,29,Mujer,25.0,Civil
NORTE DE SANTANDER,2002,6,1,Mujer,44.0,Civil
TOLIMA,1991,6,15,Mujer,30.0,Civil
CAUCA,2009,7,1,Mujer,42.0,Civil
NORTE DE SANTANDER,2000,9,20,Mujer,15.0,Civil
ANTIOQUIA,1998,12,23,Mujer,30.0,Civil
ARAUCA,2010,4,7,Mujer,14.0,Civil
CUNDINAMARCA,1989,8,15,Mujer,23.0,Civil
TOLIMA,1999,6,25,Mujer,15.0,Civil
ANTIOQUIA,2003,6,1,Mujer,13.0,Civil
VALLE DEL CAUCA,1994,11,3,Mujer,17.0,Civil
HUILA,2003,1,13,Mujer,16.0,Civil
NORTE DE SANTANDER,2005,3,19,Mujer,26.0,Civil
RISARALDA,2004,6,15,Mujer,28.0,Civil
LA GUAJIRA,2007,1,11,Mujer,26.0,Civil
ANTIOQUIA,1990,2,25,Mujer,15.0,Civil
CAUCA,2004,10,1,Mujer,33.0,Civil
BOLIVAR,2000,2,28,Mujer,49.0,Civil
BOLIVAR,2002,6,1,Mujer,14.0,Civil
MAGDALENA,2000,4,5,Mujer,35.0,Civil
ANTIOQUIA,1998,7,10,Mujer,54.0,Civil
ANTIOQUIA,2003,1,1,Mujer,30.0,Civil
ANTIOQUIA,1992,8,18,Mujer,28.0,Civil
BOLIVAR,1987,1,8,Hombre,13.0,Civil
ANTIOQUIA,2002,6,10,Mujer,46.0,Civil
ANTIOQUIA,1990,6,17,Mujer,17.0,Civil
CORDOBA,1996,7,19,Mujer,19.0,Civil
ANTIOQUIA,2002,7,20,Mujer,24.0,Civil
ANTIOQUIA,2011,5,23,Mujer,20.0,Civil
SUCRE,2002,3,11,Mujer,25.0,Civil
ANTIOQUIA,2002,3,17,Mujer,15.0,Civil
SANTANDER,1987,8,20,Mujer,31.0,Civil
CESAR,2004,3,14,Mujer,21.0,Civil
ANTIOQUIA,2002,9,29,Mujer,13.0,Civil
PUTUMAYO,2002,10,20,Mujer,12.0,Civil
LA GUAJIRA,2014,3,25,Mujer,51.0,Civil
CHOCO,2014,2,1,Mujer,29.0,Civil
PUTUMAYO,2015,7,26,Mujer,27.0,Civil
"BOGOTA, D.C.",2008,5,1,Mujer,13.0,Civil
NARINO,1985,1,1,Mujer,29.0,Civil
NORTE DE SANTANDER,2004,11,27,Mujer,22.0,Civil
LA GUAJIRA,2002,8,14,Hombre,34.0,Civil
CAUCA,2007,9,17,Mujer,17.0,Civil
ANTIOQUIA,1998,8,2,Mujer,13.0,Civil
PUTUMAYO,2002,1,15,Mujer,16.0,Civil
TOLIMA,2012,6,18,Mujer,31.0,Civil
SUCRE,2003,10,28,Mujer,27.0,Civil
ANTIOQUIA,2002,1,1,Mujer,39.0,Civil
MAGDALENA,2002,12,12,Mujer,30.0,Civil
ANTIOQUIA,1987,12,5,Mujer,20.0,Civil
ANTIOQUIA,2001,3,1,Mujer,14.0,Civil
NARINO,2012,4,25,Mujer,23.0,Civil
SIN INFORMACION,1995,0,0,Mujer,17.0,Civil
ANTIOQUIA,2002,5,15,Mujer,40.0,Civil
LA GUAJIRA,2006,12,22,Mujer,13.0,Civil
VALLE DEL CAUCA,2008,8,23,Mujer,31.0,Civil
NORTE DE SANTANDER,2004,5,4,Mujer,37.0,Civil
LA GUAJIRA,2007,12,19,Mujer,43.0,Civil
ANTIOQUIA,2005,6,18,Mujer,42.0,Civil
CESAR,1998,7,14,Mujer,24.0,Civil
CESAR,1992,5,12,Hombre,29.0,Civil
BOLIVAR,1999,11,27,Mujer,28.0,Civil
MAGDALENA,2004,1,4,Mujer,12.0,Civil
ANTIOQUIA,2003,8,7,Mujer,47.0,Civil
ANTIOQUIA,1997,1,1,Mujer,29.0,Civil
QUINDIO,2005,6,15,Mujer,16.0,Civil
MAGDALENA,2002,5,6,Mujer,24.0,Civil
CAUCA,2001,10,1,Mujer,10.0,Civil
RISARALDA,1987,0,0,Mujer,20.0,Civil
LA GUAJIRA,2014,9,22,Mujer,54.0,Civil
ANTIOQUIA,2002,12,15,Mujer,20.0,Civil
NORTE DE SANTANDER,2002,2,0,Mujer,43.0,Civil
NORTE DE SANTANDER,2004,4,2,Mujer,31.0,Civil
NARINO,2015,1,8,Mujer,26.0,Civil
ANTIOQUIA,2002,3,1,Mujer,31.0,Civil
BOLIVAR,2008,5,27,Mujer,34.0,Civil
VICHADA,2006,11,14,Mujer,9.0,Civil
ANTIOQUIA,1988,6,9,Mujer,12.0,Civil
ANTIOQUIA,2000,12,12,Mujer,20.0,Civil
ANTIOQUIA,2000,9,17,Mujer,32.0,Civil
PUTUMAYO,1999,8,27,Mujer,30.0,Civil
CHOCO,2013,12,28,Mujer,25.0,Civil
NARINO,2008,4,8,Mujer,23.0,Civil
CESAR,1999,9,16,Mujer,19.0,Civil
MAGDALENA,2005,1,15,Mujer,15.0,Civil
CESAR,1998,1,1,Mujer,18.0,Civil
CAUCA,2001,7,1,Mujer,23.0,Civil
CHOCO,2010,2,16,Mujer,24.0,Civil
ANTIOQUIA,2013,5,24,Mujer,50.0,Civil
VALLE DEL CAUCA,2012,5,5,Mujer,22.0,Civil
NARINO,2008,6,6,Mujer,40.0,Civil
NARINO,2007,3,1,Mujer,16.0,Civil
CAQUETA,2014,12,12,Mujer,26.0,Civil
CAUCA,2013,2,8,Mujer,28.0,Civil
ANTIOQUIA,1999,12,31,Hombre,42.0,Civil
PUTUMAYO,2004,2,2,Mujer,31.0,Civil
CAQUETA,2005,6,10,Mujer,20.0,Civil
MAGDALENA,2001,3,3,Mujer,38.0,Civil
BOLIVAR,2000,7,1,Hombre,27.0,Civil
PUTUMAYO,2003,3,5,Mujer,14.0,Civil
ANTIOQUIA,2001,8,11,Mujer,30.0,Civil
BOLIVAR,2001,10,19,Hombre,26.0,Civil
ANTIOQUIA,1997,8,23,Mujer,24.0,Civil
ANTIOQUIA,2010,3,26,Mujer,21.0,Civil
NORTE DE SANTANDER,2003,4,1,Mujer,33.0,Civil
PUTUMAYO,2000,12,3,Mujer,28.0,Civil
TOLIMA,1997,12,5,Mujer,15.0,Civil
NORTE DE SANTANDER,2003,7,15,Mujer,12.0,Civil
CESAR,2005,5,13,Mujer,18.0,Civil
CAQUETA,2005,9,10,Mujer,14.0,Civil
NORTE DE SANTANDER,1989,1,1,Mujer,23.0,Civil
NARINO,2001,12,16,Mujer,14.0,Civil
ANTIOQUIA,2004,9,10,Mujer,13.0,Civil
CAQUETA,2002,11,15,Mujer,42.0,Civil
SANTANDER,2015,12,3,Mujer,38.0,Civil
CALDAS,1985,7,15,Mujer,12.0,Civil
SANTANDER,2000,12,1,Mujer,14.0,Civil
NORTE DE SANTANDER,2004,2,2,Mujer,10.0,Civil
CAQUETA,2001,7,7,Mujer,22.0,Civil
MAGDALENA,2005,11,24,Mujer,18.0,Civil
MAGDALENA,2013,7,29,Mujer,18.0,Civil
PUTUMAYO,2013,10,30,Mujer,26.0,Civil
SANTANDER,1992,1,1,Mujer,19.0,Civil
TOLIMA,2000,9,20,Hombre,13.0,Civil
SANTANDER,1993,11,9,Hombre,47.0,Civil
MAGDALENA,2003,6,1,Mujer,37.0,Civil
CAUCA,2004,3,1,Mujer,14.0,Civil
CAUCA,2014,7,10,Mujer,28.0,Civil
ANTIOQUIA,2002,11,12,Mujer,14.0,Civil
PUTUMAYO,2000,6,15,Mujer,15.0,Civil
LA GUAJIRA,2009,4,23,Mujer,30.0,Civil
PUTUMAYO,2001,11,1,Mujer,28.0,Civil
CORDOBA,2011,5,27,Mujer,15.0,Civil
CUNDINAMARCA,2002,11,28,Mujer,21.0,Civil
ANTIOQUIA,2004,11,4,Mujer,12.0,Civil
ANTIOQUIA,1999,11,26,Mujer,24.0,Civil
ANTIOQUIA,2002,10,20,Mujer,22.0,Civil
NORTE DE SANTANDER,2004,10,2,Mujer,27.0,Civil
ANTIOQUIA,2000,7,10,Mujer,21.0,Civil
ANTIOQUIA,2009,2,9,Mujer,13.0,Civil
ANTIOQUIA,2014,5,1,Mujer,15.0,Civil
MAGDALENA,2011,6,8,Mujer,24.0,Civil
CAUCA,1990,6,1,Mujer,15.0,Civil
NARINO,2003,3,30,Mujer,21.0,Civil
CAQUETA,2010,11,23,Hombre,27.0,Civil
NORTE DE SANTANDER,2004,5,14,Mujer,23.0,Civil
CALDAS,2001,1,1,Mujer,31.0,Civil
SUCRE,1997,11,11,Mujer,27.0,Civil
PUTUMAYO,2000,10,22,Mujer,18.0,Civil
ANTIOQUIA,2015,10,3,Mujer,22.0,Civil
BOLIVAR,2014,1,13,Mujer,24.0,Civil
PUTUMAYO,2013,8,18,Mujer,36.0,Civil
NORTE DE SANTANDER,2005,1,6,Mujer,14.0,Civil
META,1989,1,15,Mujer,13.0,Civil
CAUCA,2001,11,13,Mujer,14.0,Civil
CAUCA,2007,8,26,Mujer,30.0,Civil
ANTIOQUIA,1994,4,13,Mujer,13.0,Civil
ANTIOQUIA,2002,9,1,Mujer,14.0,Civil
BOLIVAR,2000,1,9,Mujer,14.0,Civil
CAQUETA,2002,7,8,Mujer,40.0,Civil
CAQUETA,2001,6,15,Mujer,23.0,Civil
ANTIOQUIA,2012,1,30,Mujer,32.0,Civil
CESAR,2011,3,2,Mujer,13.0,Civil
BOLIVAR,2005,9,1,Mujer,37.0,Civil
VALLE DEL CAUCA,1996,7,4,Mujer,32.0,Civil
MAGDALENA,1997,7,26,Mujer,24.0,Civil
NARINO,2013,11,1,Mujer,22.0,Civil
CALDAS,2005,4,2,Mujer,22.0,Civil
PUTUMAYO,2014,6,3,Mujer,17.0,Civil
PUTUMAYO,1988,12,1,Mujer,11.0,Civil
ANTIOQUIA,1994,7,10,Mujer,22.0,Civil
NORTE DE SANTANDER,2012,2,26,Hombre,10.0,Civil
NARINO,2002,6,16,Mujer,38.0,Civil
ANTIOQUIA,1995,11,11,Mujer,2.0,Civil
BOLIVAR,2005,4,5,Mujer,24.0,Civil
NARINO,2006,7,10,Mujer,21.0,Civil
MAGDALENA,2004,8,22,Mujer,14.0,Civil
CHOCO,2002,3,16,Mujer,22.0,Civil
CAQUETA,2005,2,15,Mujer,17.0,Civil
SANTANDER,2003,9,15,Mujer,18.0,Civil
LA GUAJIRA,1998,6,25,Mujer,20.0,Civil
PUTUMAYO,2001,1,6,Mujer,10.0,Civil
NARINO,2014,5,13,Hombre,34.0,Civil
ANTIOQUIA,2013,4,14,Hombre,6.0,Civil
NORTE DE SANTANDER,2004,6,21,Mujer,11.0,Civil
NARINO,2013,12,15,Mujer,22.0,Civil
NARINO,2013,12,13,Mujer,18.0,Civil
CAUCA,2004,4,1,Mujer,27.0,Civil
SANTANDER,1996,5,1,Mujer,24.0,Civil
NARINO,2014,12,4,Hombre,23.0,Civil
MAGDALENA,2005,8,3,Mujer,10.0,Civil
ANTIOQUIA,1992,11,30,Mujer,17.0,Civil
CHOCO,2013,10,2,Mujer,31.0,Civil
MAGDALENA,2001,2,3,Mujer,33.0,Civil
CUNDINAMARCA,2002,1,1,Mujer,16.0,Civil
NARINO,2005,2,1,Mujer,43.0,Civil
MAGDALENA,2000,4,1,Mujer,28.0,Civil
META,1998,6,21,Hombre,3.0,Civil
ANTIOQUIA,1993,3,20,Mujer,11.0,Civil
MAGDALENA,2014,6,12,Mujer,29.0,Civil
CORDOBA,1995,2,15,Mujer,17.0,Civil
ANTIOQUIA,1996,7,20,Mujer,15.0,Civil
META,2008,6,18,Mujer,39.0,Civil
ANTIOQUIA,1994,11,6,Mujer,25.0,Civil
MAGDALENA,1986,11,9,Mujer,16.0,Civil
ANTIOQUIA,2008,1,1,Mujer,21.0,Civil
NORTE DE SANTANDER,2004,1,1,Mujer,45.0,Civil
BOLIVAR,2007,10,23,Mujer,21.0,Civil
META,2000,1,1,Mujer,31.0,Civil
CAUCA,2002,2,18,Mujer,32.0,Civil
CAQUETA,2005,12,25,Mujer,22.0,Civil
ANTIOQUIA,2006,2,13,Mujer,14.0,Civil
MAGDALENA,2002,10,11,Mujer,15.0,Civil
ARAUCA,1995,5,1,Mujer,16.0,Civil
ANTIOQUIA,1999,6,5,Mujer,36.0,Civil
MAGDALENA,2003,12,24,Mujer,14.0,Civil
MAGDALENA,2002,5,13,Mujer,15.0,Civil
NARINO,2004,4,24,Mujer,26.0,Civil
ANTIOQUIA,1997,6,1,Mujer,15.0,Civil
META,2005,10,1,Mujer,40.0,Civil
PUTUMAYO,2011,8,10,Mujer,17.0,Civil
CAQUETA,2002,6,2,Mujer,8.0,Civil
MAGDALENA,2000,1,1,Mujer,20.0,Civil
VALLE DEL CAUCA,2000,9,1,Mujer,27.0,Civil
NORTE DE SANTANDER,1991,1,1,Mujer,22.0,Civil
NARINO,2012,6,9,Mujer,45.0,Civil
NORTE DE SANTANDER,2000,2,4,Mujer,39.0,Civil
NARINO,2003,3,5,Mujer,31.0,Civil
ANTIOQUIA,2000,8,1,Mujer,33.0,Civil
ANTIOQUIA,2003,5,15,Mujer,16.0,Civil
CUNDINAMARCA,2014,7,12,Mujer,44.0,Civil
ANTIOQUIA,2015,6,13,Mujer,13.0,Civil
NARINO,2007,8,1,Mujer,3.0,Civil
ANTIOQUIA,1991,2,20,Mujer,15.0,Civil
BOYACA,1992,5,12,Mujer,35.0,Civil
MAGDALENA,2000,2,19,Mujer,30.0,Civil
NORTE DE SANTANDER,2003,5,14,Hombre,25.0,Civil
BOLIVAR,2002,3,7,Mujer,25.0,Civil
BOLIVAR,2001,1,26,Mujer,36.0,Civil
VALLE DEL CAUCA,2012,8,1,Mujer,16.0,Civil
ANTIOQUIA,1987,12,1,Mujer,14.0,Civil
PUTUMAYO,2006,3,7,Mujer,53.0,Civil
ANTIOQUIA,1997,3,20,Mujer,18.0,Civil
CESAR,1992,8,22,Mujer,37.0,Civil
LA GUAJIRA,2002,1,14,Hombre,49.0,Civil
CALDAS,2007,12,8,Mujer,37.0,Civil
MAGDALENA,1999,11,22,Mujer,28.0,Civil
ARAUCA,2016,2,25,Mujer,13.0,Civil
META,2004,12,9,Mujer,26.0,Civil
SUCRE,2003,2,19,Mujer,17.0,Civil
VALLE DEL CAUCA,0,0,0,Hombre,16.0,Civil
CESAR,2005,2,24,Mujer,16.0,Civil
BOLIVAR,2013,3,18,Hombre,13.0,Civil
HUILA,2014,7,1,Mujer,33.0,Civil
CASANARE,2001,12,1,Mujer,24.0,Civil
VALLE DEL CAUCA,2003,9,5,Hombre,42.0,Civil
VALLE DEL CAUCA,2011,5,10,Mujer,24.0,Civil
META,2001,1,1,Mujer,40.0,Civil
ANTIOQUIA,1998,5,23,Mujer,17.0,Civil
ANTIOQUIA,1999,9,16,Mujer,8.0,Civil
ANTIOQUIA,2000,2,15,Mujer,21.0,Civil
CAUCA,2011,5,11,Mujer,30.0,Civil
ANTIOQUIA,2008,4,7,Mujer,19.0,Civil
ANTIOQUIA,2005,3,30,Hombre,17.0,Civil
ARAUCA,2008,10,3,Mujer,23.0,Civil
PUTUMAYO,1998,5,14,Mujer,19.0,Civil
MAGDALENA,2004,4,12,Mujer,13.0,Civil
BOLIVAR,2011,10,10,Mujer,35.0,Civil
CAUCA,1999,1,1,Mujer,13.0,Civil
ANTIOQUIA,2003,2,1,Mujer,23.0,Civil
ANTIOQUIA,2013,2,15,Mujer,48.0,Civil
MAGDALENA,2003,6,9,Hombre,28.0,Civil Temporalmente Combatiente
NARINO,2007,5,23,Mujer,22.0,Civil
CAUCA,2013,6,1,Mujer,15.0,Civil
SIN INFORMACION,2008,10,1,Mujer,7.0,Civil
CESAR,2002,3,18,Mujer,12.0,Civil
MAGDALENA,2004,9,17,Mujer,27.0,Civil
PUTUMAYO,2012,6,15,Mujer,28.0,Civil
NORTE DE SANTANDER,2002,7,25,Mujer,20.0,Civil
BOLIVAR,2006,2,8,Mujer,20.0,Civil
BOLIVAR,1986,5,13,Mujer,18.0,Civil
SANTANDER,2003,4,21,Mujer,15.0,Civil
META,2005,4,1,Mujer,16.0,Civil
ANTIOQUIA,2006,1,26,Mujer,25.0,Civil
SUCRE,2003,3,24,Mujer,47.0,Civil
NORTE DE SANTANDER,1999,8,20,Mujer,34.0,Civil
GUAVIARE,2006,11,1,Hombre,8.0,Civil
MAGDALENA,2000,3,11,Mujer,20.0,Civil
MAGDALENA,2002,11,25,Hombre,46.0,Civil
NARINO,2007,1,28,Mujer,23.0,Civil
BOLIVAR,2011,10,11,Mujer,33.0,Civil
CHOCO,2000,3,15,Mujer,39.0,Civil
SUCRE,2000,2,10,Mujer,19.0,Civil
META,1998,8,3,Mujer,22.0,Civil
BOLIVAR,2003,8,28,Mujer,11.0,Civil
PUTUMAYO,1998,11,1,Mujer,14.0,Civil
NARINO,2004,11,17,Mujer,19.0,Civil
ANTIOQUIA,2010,1,1,Mujer,34.0,Civil
GUAVIARE,2010,2,3,Mujer,14.0,Civil
VALLE DEL CAUCA,2010,1,10,Mujer,43.0,Civil
CAUCA,2000,6,1,Mujer,15.0,Civil
BOLIVAR,2013,2,7,Mujer,19.0,Civil
ANTIOQUIA,1996,5,30,Mujer,24.0,Civil
CORDOBA,2015,3,2,Mujer,20.0,Civil
META,1996,12,1,Mujer,12.0,Civil
MAGDALENA,2002,8,10,Mujer,29.0,Civil
NARINO,2005,7,1,Mujer,18.0,Civil
MAGDALENA,2000,1,19,Mujer,18.0,Civil
VALLE DEL CAUCA,2013,3,8,Mujer,34.0,Civil
ANTIOQUIA,1996,3,31,Mujer,10.0,Civil
CAQUETA,1999,3,5,Mujer,17.0,Civil
NARINO,2002,8,20,Mujer,27.0,Civil
PUTUMAYO,2002,7,14,Mujer,41.0,Civil
CAQUETA,2000,10,17,Mujer,28.0,Civil
MAGDALENA,2001,2,15,Mujer,28.0,Civil
MAGDALENA,2000,2,14,Mujer,32.0,Civil
HUILA,1994,1,1,Mujer,13.0,Civil
CAQUETA,2014,3,23,Mujer,19.0,Civil
ANTIOQUIA,2000,1,1,Mujer,22.0,Civil
META,1999,7,18,Hombre,24.0,Civil
SIN INFORMACION,2009,10,1,Mujer,33.0,Civil
CESAR,1995,8,6,Hombre,27.0,Civil
MAGDALENA,2003,11,16,Hombre,32.0,Civil
CAUCA,1986,1,19,Mujer,27.0,Civil
ANTIOQUIA,2001,4,1,Mujer,16.0,Civil
ANTIOQUIA,2001,7,1,Mujer,16.0,Civil
ANTIOQUIA,2000,11,18,Hombre,28.0,Civil
ANTIOQUIA,2005,8,18,Mujer,16.0,Civil
CASANARE,2005,12,22,Mujer,24.0,Civil
ANTIOQUIA,2009,10,15,Mujer,49.0,Civil
ANTIOQUIA,2003,4,15,Mujer,24.0,Civil
MAGDALENA,2003,12,7,Mujer,22.0,Civil
NORTE DE SANTANDER,2004,2,11,Mujer,14.0,Civil
HUILA,2000,3,2,Mujer,13.0,Civil
PUTUMAYO,2008,2,3,Mujer,15.0,Civil
ANTIOQUIA,2006,1,1,Mujer,12.0,Civil
CAUCA,2002,12,16,Mujer,17.0,Civil
MAGDALENA,2002,10,31,Mujer,42.0,Civil
PUTUMAYO,2003,2,3,Mujer,22.0,Civil
SANTANDER,2001,1,1,Mujer,41.0,Civil
ANTIOQUIA,2011,11,11,Mujer,29.0,Civil
CHOCO,2008,3,18,Mujer,30.0,Civil
SANTANDER,2000,6,1,Mujer,42.0,Civil
CAUCA,2015,5,1,Mujer,27.0,Civil
CORDOBA,2002,10,15,Mujer,12.0,Civil
LA GUAJIRA,2000,12,9,Mujer,19.0,Civil
ANTIOQUIA,2011,1,20,Mujer,27.0,Civil
CAQUETA,2005,2,17,Mujer,16.0,Civil
ANTIOQUIA,2000,3,12,Mujer,33.0,Civil
ANTIOQUIA,1991,10,31,Mujer,35.0,Civil
VALLE DEL CAUCA,2013,5,9,Mujer,16.0,Civil
ANTIOQUIA,2003,11,1,Mujer,34.0,Civil
ANTIOQUIA,2009,6,1,Mujer,21.0,Civil
META,2010,11,17,Mujer,34.0,Civil
PUTUMAYO,2003,3,29,Mujer,20.0,Civil
NARINO,2003,9,28,Hombre,30.0,Civil
ANTIOQUIA,1995,2,13,Mujer,12.0,Civil
HUILA,2007,4,1,Mujer,22.0,Civil
ANTIOQUIA,2000,7,14,Mujer,34.0,Civil
META,2007,1,1,Mujer,61.0,Civil
ANTIOQUIA,2004,11,20,Mujer,41.0,Civil
VALLE DEL CAUCA,2014,3,26,Mujer,24.0,Civil
ANTIOQUIA,2005,3,15,Mujer,16.0,Civil
MAGDALENA,2005,11,11,Mujer,18.0,Civil
NARINO,2004,3,20,Mujer,34.0,Civil
CAUCA,2002,1,1,Mujer,36.0,Civil
PUTUMAYO,2002,8,10,Mujer,24.0,Civil
BOLIVAR,1995,8,1,Mujer,11.0,Civil
ATLANTICO,2001,12,26,Mujer,21.0,Civil
MAGDALENA,1999,9,5,Mujer,29.0,Civil
LA GUAJIRA,2003,5,12,Mujer,32.0,Civil
CAQUETA,2012,8,1,Mujer,18.0,Civil
ANTIOQUIA,1994,2,16,Mujer,32.0,Civil
SANTANDER,1990,11,1,Mujer,16.0,Civil
BOLIVAR,2013,8,30,Mujer,30.0,Civil
NARINO,2011,10,16,Mujer,12.0,Civil
BOLIVAR,2005,7,28,Mujer,18.0,Civil
ANTIOQUIA,1997,12,12,Mujer,28.0,Civil
LA GUAJIRA,2004,3,31,Mujer,20.0,Civil
LA GUAJIRA,2015,3,5,Mujer,27.0,Civil
NARINO,2007,6,1,Mujer,19.0,Civil
CESAR,2010,3,1,Mujer,49.0,Civil
